job_id,job_title,company,location,work_mode,job_category,job_description,required_skills,soft_skills,tools_mentioned,internship_duration,date_posted,source_platform
"J001","Data Analyst Intern","Astra Analytics","Kuala Lumpur","Hybrid","Data Analyst Intern","Support the analytics team by cleaning sales data, writing SQL queries, building Excel reports, and creating Tableau dashboards for weekly business reviews.","Python; SQL; Excel; Tableau; data cleaning; dashboard","communication; analytical thinking; documentation","Excel; Tableau","3 months","2026-05-02","LinkedIn"
"J002","AI Research Intern","NeuraWorks Lab","Remote Malaysia","Remote","AI Intern","Assist with machine learning experiments, NLP text classification, model evaluation, and Python notebooks using scikit-learn and pandas.","Python; machine learning; NLP; scikit-learn; pandas","problem solving; documentation; teamwork","scikit-learn; pandas","6 months","2026-04-28","Company Careers"
"J003","Business Analyst Intern","Meridian Retail Group","Petaling Jaya","On-site","Business Analyst Intern","Gather business requirements, document stakeholder needs, analyze Excel sales reports, and support Power BI dashboard updates for store performance.","Excel; SQL; Power BI; reporting; dashboard","stakeholder management; communication; presentation","Excel; Power BI","4 months","2026-05-05","Indeed"
"J004","Product Analyst Intern","PulsePay","Kuala Lumpur","Hybrid","Product Analyst Intern","Analyze user behavior, product metrics, funnel performance, and A B test results using SQL, Python, and dashboard reporting.","SQL; Python; data visualization; reporting; dashboard","analytical thinking; presentation; communication","Tableau; Excel","6 months","2026-05-06","LinkedIn"
"J005","Data Science Intern","FinSight AI","Cyberjaya","Hybrid","AI Intern","Work on predictive modeling, feature preparation, machine learning evaluation, and visualization of model insights with Python and pandas.","Python; pandas; machine learning; scikit-learn; data visualization","problem solving; analytical thinking; documentation","pandas; scikit-learn","6 months","2026-04-22","Glassdoor"
"J006","Analytics Intern","BrightCart","Singapore","Hybrid","Data Analyst Intern","Prepare customer analytics reports, clean transaction data, maintain Tableau dashboards, and summarize weekly insights for marketing teams.","SQL; Excel; Tableau; data cleaning; reporting","communication; teamwork; presentation","Excel; Tableau","3 months","2026-05-01","LinkedIn"
"J007","Software Data Intern","CloudNest Solutions","Penang","On-site","Software/Data Intern","Build internal data utilities, connect APIs, write Python scripts, store structured data in SQLite, and document database workflows.","Python; SQL; SQLite; API; data cleaning","documentation; problem solving; teamwork","SQLite; Firebase","4 months","2026-04-26","Company Careers"
"J008","Business Intelligence Intern","HarborFoods","Johor Bahru","On-site","Business Analyst Intern","Support BI reporting by preparing SQL extracts, updating Power BI dashboards, validating Excel files, and presenting operational insights.","SQL; Excel; Power BI; reporting; data visualization","presentation; communication; stakeholder management","Excel; Power BI","3 months","2026-05-09","Indeed"
"J009","Machine Learning Intern","VisionByte","Kuala Lumpur","Hybrid","AI Intern","Develop computer vision prototypes, prepare image datasets, train deep learning models, and track experiments with Python and PyTorch.","Python; deep learning; computer vision; PyTorch; machine learning","problem solving; teamwork; documentation","PyTorch","6 months","2026-04-30","Wellfound"
"J010","Data Analyst Intern","EcoGrid Energy","Remote Malaysia","Remote","Data Analyst Intern","Analyze energy usage data, write SQL queries, create Python charts, automate reporting, and build simple Streamlit dashboard views.","SQL; Python; data visualization; reporting; dashboard","analytical thinking; communication; documentation","Excel; Streamlit","5 months","2026-05-04","Handshake"
"J011","Product Data Intern","ShopLynk","Kuala Lumpur","Hybrid","Product Analyst Intern","Monitor product KPIs, analyze customer journey data, prepare Looker dashboards, and explain findings to product managers.","SQL; Looker; dashboard; reporting; data visualization","stakeholder management; presentation; communication","Looker","6 months","2026-05-10","LinkedIn"
"J012","AI Intern","MedNexa Analytics","Selangor","Hybrid","AI Intern","Help build NLP pipelines for healthcare notes, clean text data, evaluate machine learning models, and document experiment results.","Python; NLP; machine learning; scikit-learn; data cleaning","documentation; analytical thinking; problem solving","scikit-learn","6 months","2026-04-25","Company Careers"
"J013","Data Reporting Intern","MetroFinance","Kuala Lumpur","On-site","Data Analyst Intern","Maintain Excel trackers, prepare monthly reporting packs, validate SQL data extracts, and support Tableau dashboard refreshes.","Excel; SQL; reporting; Tableau; data cleaning","communication; documentation; teamwork","Excel; Tableau","3 months","2026-05-11","Indeed"
"J014","Business Analyst Intern","NovaTel Digital","Cyberjaya","Hybrid","Business Analyst Intern","Translate stakeholder questions into metrics, analyze service data, prepare requirement documentation, and create Power BI visuals.","SQL; Excel; Power BI; dashboard; reporting","stakeholder management; communication; documentation","Excel; Power BI","6 months","2026-05-03","LinkedIn"
