job_id,job_title,company,location,work_mode,job_category,job_description,required_skills,soft_skills,tools_mentioned,internship_duration,date_posted,source_platform,clean_description,extracted_skills,extracted_technical_skills,extracted_tools,extracted_soft_skills,skill_flag_aws,skill_flag_adobe_illustrator,skill_flag_adobe_photoshop,skill_flag_adobe_premiere_pro,skill_flag_agile,skill_flag_azure,skill_flag_blender,skill_flag_c#,skill_flag_c++,skill_flag_crm,skill_flag_docker,skill_flag_erp,skill_flag_excel,skill_flag_expressjs,skill_flag_figma,skill_flag_firebase,skill_flag_flutter,skill_flag_git,skill_flag_github,skill_flag_google_cloud,skill_flag_google_data_studio,skill_flag_html_css,skill_flag_it_documentation,skill_flag_java,skill_flag_javascript,skill_flag_linux,skill_flag_looker,skill_flag_mongodb,skill_flag_mysql,skill_flag_nlp,skill_flag_nodejs,skill_flag_numpy,skill_flag_oop,skill_flag_php,skill_flag_postgresql,skill_flag_power_bi,skill_flag_pytorch,skill_flag_python,skill_flag_r,skill_flag_rest_api,skill_flag_react,skill_flag_react_native,skill_flag_sql,skill_flag_sqlite,skill_flag_tableau,skill_flag_tensorflow,skill_flag_typescript,skill_flag_uat,skill_flag_ui_ux_design,skill_flag_unity,skill_flag_analytical_thinking,skill_flag_business_process,skill_flag_communication,skill_flag_computer_vision,skill_flag_cybersecurity,skill_flag_dashboard,skill_flag_data_cleaning,skill_flag_data_visualization,skill_flag_deep_learning,skill_flag_documentation,skill_flag_firewall,skill_flag_game_development,skill_flag_incident_response,skill_flag_machine_learning,skill_flag_motion_graphics,skill_flag_networking,skill_flag_pandas,skill_flag_presentation,skill_flag_problem_solving,skill_flag_prototyping,skill_flag_reporting,skill_flag_requirements_analysis,skill_flag_scikit_learn,skill_flag_software_testing,skill_flag_stakeholder_management,skill_flag_statistics,skill_flag_system_analysis,skill_flag_teamwork,skill_flag_troubleshooting,skill_flag_video_editing,skill_flag_vulnerability_assessment,skill_flag_wireframing
J001,Data Analyst Intern,Astra Analytics,Kuala Lumpur,Hybrid,Data Analyst Intern,"Support the analytics team by cleaning sales data, writing SQL queries, building Excel reports, and creating Tableau dashboards for weekly business reviews.",Python; SQL; Excel; Tableau; data cleaning; dashboard,communication; analytical thinking; documentation,Excel; Tableau,3 months,2026-05-02,LinkedIn,support the analytics team by cleaning sales data writing sql queries building excel reports and creating tableau dashboards for weekly business reviews,Excel; Python; SQL; Tableau; analytical thinking; communication; dashboard; data cleaning; documentation; reporting,Excel; Python; SQL; Tableau; dashboard; data cleaning; reporting,Excel; Tableau,analytical thinking; communication; documentation,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
J002,AI Research Intern,NeuraWorks Lab,Remote Malaysia,Remote,AI / Machine Learning Intern,"Assist with machine learning experiments, NLP text classification, model evaluation, and Python notebooks using scikit-learn and pandas.",Python; machine learning; NLP; scikit-learn; pandas,problem solving; documentation; teamwork,scikit-learn; pandas,6 months,2026-04-28,Company Careers,assist with machine learning experiments nlp text classification model evaluation and python notebooks using scikit learn and pandas,NLP; Python; documentation; machine learning; pandas; problem solving; scikit-learn; teamwork,NLP; Python; machine learning; pandas; scikit-learn,pandas; scikit-learn,documentation; problem solving; teamwork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
J003,Business Analyst Intern,Meridian Retail Group,Petaling Jaya,On-site,Business Analyst Intern,"Gather business requirements, document stakeholder needs, analyze Excel sales reports, and support Power BI dashboard updates for store performance.",Excel; SQL; Power BI; reporting; dashboard,stakeholder management; communication; presentation,Excel; Power BI,4 months,2026-05-05,Indeed,gather business requirements document stakeholder needs analyze excel sales reports and support power bi dashboard updates for store performance,Excel; Power BI; SQL; communication; dashboard; presentation; reporting; requirements analysis; stakeholder management,Excel; Power BI; SQL; dashboard; reporting; requirements analysis,Excel; Power BI,communication; presentation; stakeholder management,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
J004,Product Analyst Intern,PulsePay,Kuala Lumpur,Hybrid,Product Analyst Intern,"Analyze user behavior, product metrics, funnel performance, and A B test results using SQL, Python, and dashboard reporting.",SQL; Python; data visualization; reporting; dashboard,analytical thinking; presentation; communication,Tableau; Excel,6 months,2026-05-06,LinkedIn,analyze user behavior product metrics funnel performance and a b test results using sql python and dashboard reporting,Excel; Python; SQL; Tableau; analytical thinking; communication; dashboard; data visualization; presentation; reporting,Excel; Python; SQL; Tableau; dashboard; data visualization; reporting,Excel; Tableau,analytical thinking; communication; presentation,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
J005,Data Science Intern,FinSight AI,Cyberjaya,Hybrid,Data Science Intern,"Work on predictive modeling, feature preparation, machine learning evaluation, and visualization of model insights with Python and pandas.",Python; pandas; machine learning; scikit-learn; data visualization,problem solving; analytical thinking; documentation,pandas; scikit-learn,6 months,2026-04-22,Glassdoor,work on predictive modeling feature preparation machine learning evaluation and visualization of model insights with python and pandas,Python; analytical thinking; data visualization; documentation; machine learning; pandas; problem solving; scikit-learn,Python; data visualization; machine learning; pandas; scikit-learn,pandas; scikit-learn,analytical thinking; documentation; problem solving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
J006,Analytics Intern,BrightCart,Singapore,Hybrid,Data Analyst Intern,"Prepare customer analytics reports, clean transaction data, maintain Tableau dashboards, and summarize weekly insights for marketing teams.",SQL; Excel; Tableau; data cleaning; reporting,communication; teamwork; presentation,Excel; Tableau,3 months,2026-05-01,LinkedIn,prepare customer analytics reports clean transaction data maintain tableau dashboards and summarize weekly insights for marketing teams,Excel; SQL; Tableau; communication; dashboard; data cleaning; presentation; reporting; teamwork,Excel; SQL; Tableau; dashboard; data cleaning; reporting,Excel; Tableau,communication; presentation; teamwork,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
J007,Software Data Intern,CloudNest Solutions,Penang,On-site,Software Engineering Intern,"Build internal data utilities, connect APIs, write Python scripts, store structured data in SQLite, and document database workflows.",Python; SQL; SQLite; API; data cleaning,documentation; problem solving; teamwork,SQLite; Firebase,4 months,2026-04-26,Company Careers,build internal data utilities connect apis write python scripts store structured data in sqlite and document database workflows,Firebase; Python; SQL; SQLite; data cleaning; documentation; problem solving; teamwork,Firebase; Python; SQL; SQLite; data cleaning,Firebase; SQLite,documentation; problem solving; teamwork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
J008,Business Intelligence Intern,HarborFoods,Johor Bahru,On-site,Business Analyst Intern,"Support BI reporting by preparing SQL extracts, updating Power BI dashboards, validating Excel files, and presenting operational insights.",SQL; Excel; Power BI; reporting; data visualization,presentation; communication; stakeholder management,Excel; Power BI,3 months,2026-05-09,Indeed,support bi reporting by preparing sql extracts updating power bi dashboards validating excel files and presenting operational insights,Excel; Power BI; SQL; communication; dashboard; data visualization; presentation; reporting; stakeholder management,Excel; Power BI; SQL; dashboard; data visualization; reporting,Excel; Power BI,communication; presentation; stakeholder management,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
J009,Machine Learning Intern,VisionByte,Kuala Lumpur,Hybrid,AI / Machine Learning Intern,"Develop computer vision prototypes, prepare image datasets, train deep learning models, and track experiments with Python and PyTorch.",Python; deep learning; computer vision; PyTorch; machine learning,problem solving; teamwork; documentation,PyTorch,6 months,2026-04-30,Wellfound,develop computer vision prototypes prepare image datasets train deep learning models and track experiments with python and pytorch,PyTorch; Python; computer vision; deep learning; documentation; machine learning; problem solving; teamwork,PyTorch; Python; computer vision; deep learning; machine learning,PyTorch,documentation; problem solving; teamwork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
J010,Data Analyst Intern,EcoGrid Energy,Remote Malaysia,Remote,Data Analyst Intern,"Analyze energy usage data, write SQL queries, create Python charts, automate reporting, and build simple Streamlit dashboard views.",SQL; Python; data visualization; reporting; dashboard,analytical thinking; communication; documentation,Excel; Streamlit,5 months,2026-05-04,Handshake,analyze energy usage data write sql queries create python charts automate reporting and build simple streamlit dashboard views,Excel; Python; SQL; analytical thinking; communication; dashboard; data visualization; documentation; reporting,Excel; Python; SQL; dashboard; data visualization; reporting,Excel,analytical thinking; communication; documentation,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
